Canal,Energía (keV),Cuentas
1414,694.49,20
1415,694.97,19
1416,695.46,17
1417,695.94,21
1418,696.42,17
1419,696.91,16
1420,697.39,19
1421,697.87,31
1422,698.35,23
1423,698.84,13
1424,699.32,21
1425,699.8,27
1426,700.29,16
1427,700.77,15
1428,701.25,19
1429,701.74,17
1430,702.22,23
1431,702.7,25
1432,703.18,17
1433,703.67,14
1434,704.15,26
1435,704.63,27
1436,705.12,22
1437,705.6,15
1438,706.08,15
1439,706.57,20
1440,707.05,10
1441,707.53,24
1442,708.01,18
1443,708.5,28
1444,708.98,18
1445,709.46,18
1446,709.95,18
1447,710.43,18
1448,710.91,18
1449,711.4,19
1450,711.88,16
1451,712.36,17
1452,712.84,22
1453,713.33,24
1454,713.81,18
1455,714.29,17
1456,714.78,26
1457,715.26,23
1458,715.74,15
1459,716.23,18
1460,716.71,16
1461,717.19,19
1462,717.67,22
1463,718.16,27
1464,718.64,20
1465,719.12,14
1466,719.61,19
1467,720.09,31
1468,720.57,17
1469,721.06,14
1470,721.54,19
1471,722.02,21
1472,722.5,14
1473,722.99,21
1474,723.47,19
1475,723.95,17
1476,724.44,22
1477,724.92,12
1478,725.4,18
1479,725.89,18
1480,726.37,17
1481,726.85,25
1482,727.34,18
1483,727.82,23
1484,728.3,16
1485,728.78,22
1486,729.27,11
1487,729.75,17
1488,730.23,18
1489,730.72,14
1490,731.2,21
1491,731.68,13
1492,732.17,15
1493,732.65,17
1494,733.13,20
1495,733.61,17
1496,734.1,15
1497,734.58,21
1498,735.06,18
1499,735.55,12
1500,736.03,16
1501,736.51,10
1502,737.0,12
1503,737.48,16
1504,737.96,21
1505,738.44,20
1506,738.93,21
1507,739.41,15
1508,739.89,23
1509,740.38,18
1510,740.86,17
1511,741.34,22
1512,741.83,19
1513,742.31,21
1514,742.79,21
1515,743.27,24
1516,743.76,16
1517,744.24,19
1518,744.72,17
1519,745.21,16
1520,745.69,8
1521,746.17,26
1522,746.66,19
1523,747.14,20
1524,747.62,10
1525,748.1,10
1526,748.59,16
1527,749.07,28
1528,749.55,21
1529,750.04,17
1530,750.52,22
1531,751.0,17
1532,751.49,23
1533,751.97,20
1534,752.45,14
1535,752.93,17
1536,753.42,15
1537,753.9,20
1538,754.38,23
1539,754.87,12
1540,755.35,20
1541,755.83,18
1542,756.32,19
1543,756.8,21
1544,757.28,24
1545,757.76,12
1546,758.25,17
1547,758.73,19
1548,759.21,21
1549,759.7,12
1550,760.18,20
1551,760.66,18
1552,761.15,13
1553,761.63,17
1554,762.11,18
1555,762.6,22
1556,763.08,27
1557,763.56,15
1558,764.04,10
1559,764.53,20
1560,765.01,12
1561,765.49,22
1562,765.98,17
1563,766.46,15
1564,766.94,15
1565,767.43,17
1566,767.91,17
1567,768.39,24
1568,768.87,34
1569,769.36,7
1570,769.84,17
1571,770.32,25
1572,770.81,17
1573,771.29,20
1574,771.77,15
1575,772.26,15
1576,772.74,20
1577,773.22,24
1578,773.7,21
1579,774.19,19
1580,774.67,14
1581,775.15,19
1582,775.64,11
1583,776.12,19
1584,776.6,18
1585,777.09,20
