Canal,Energía (keV),Cuentas,Eficiencia
219,117.55,237,0.0231885118797908
220,118.03,255,0.023144022770639833
221,118.51,254,0.023099574821951505
222,118.99,257,0.023055180606886157
223,119.47,209,0.023010852309534695
224,119.96,232,0.02296568075683853
225,120.44,257,0.022921521316540686
226,120.92,249,0.0228774623365678
227,121.4,233,0.02283351453434336
228,121.88,211,0.02278968828584596
229,122.37,232,0.02274508479881074
230,122.85,238,0.02270153450941216
231,123.33,222,0.02265813513369999
232,123.81,213,0.022614895762693713
233,124.29,240,0.022571825188772852
234,124.77,215,0.022528931913650668
235,125.26,234,0.02248533644133195
236,125.74,242,0.022442826258067976
237,126.22,208,0.022400517368954972
238,126.7,251,0.022358417183925162
239,127.18,216,0.022316532859654774
240,127.67,209,0.02227400577456292
241,128.15,225,0.0222325785126934
242,128.63,232,0.022191387262454072
243,129.11,222,0.02215043823073193
244,129.59,230,0.022109737404452812
245,130.08,231,0.02206845065502526
246,130.56,225,0.022028268816104535
247,131.04,215,0.021988351994168282
248,131.52,238,0.02194870535246452
249,132.0,239,0.02190933386378818
250,132.49,226,0.02186943091881245
251,132.97,239,0.021830629895765886
252,133.45,223,0.02179211794587669
253,133.93,249,0.02175389932991253
254,134.41,227,0.021715978144268275
255,134.89,239,0.0216783583257972
256,135.38,215,0.021640269538683178
257,135.86,225,0.02160327012077418
258,136.34,230,0.021566583040772882
259,136.82,205,0.021530211640235067
260,137.3,214,0.021494159123589124
261,137.79,221,0.02145768762043913
262,138.27,214,0.02142228875598872
263,138.75,230,0.021387217664137446
264,139.23,223,0.02135247703860053
265,139.71,213,0.021318069455682757
266,140.2,238,0.02128329112763207
267,140.68,231,0.02124956397016796
268,141.16,253,0.021216176961213275
269,141.64,190,0.02118313224064198
270,142.12,195,0.021150431848206894
271,142.6,197,0.021118077726716866
272,143.09,250,0.02108540864798574
273,143.57,236,0.021053759831641736
274,144.05,215,0.021022462597468882
275,144.53,204,0.020991518528926625
276,145.01,226,0.020960929127280464
277,145.5,186,0.020930069749928948
278,145.98,196,0.020900201330867597
279,146.46,214,0.020870691641755045
280,146.94,205,0.020841541879972295
281,147.42,211,0.020812753173601553
282,147.91,184,0.02078373822103191
283,148.39,223,0.02075568231923761
284,148.87,201,0.020727990483380497
285,149.35,194,0.02070066358609038
286,149.83,200,0.020673702441942558
287,150.32,214,0.020646557657172028
288,150.8,229,0.02062033789848182
289,151.28,183,0.020594486021673925
290,151.76,227,0.0205690026281124
291,152.24,166,0.020543888270903293
292,152.72,183,0.02051914345668695
293,153.21,198,0.020494264776442152
294,153.69,195,0.020470268112264142
295,154.17,198,0.02044664225685818
296,154.65,212,0.02042338754717261
297,155.13,184,0.020400504281983516
298,155.62,206,0.02037752768690777
299,156.1,212,0.020355395812691152
300,156.58,194,0.02033363606891606
301,157.06,191,0.02031224861577691
302,157.54,216,0.020291233582499093
303,158.03,193,0.0202701649781023
304,158.51,153,0.020249902817784604
305,158.99,194,0.0202300132928512
306,159.47,181,0.02021049642095553
307,159.95,209,0.020191352195035445
308,160.44,189,0.02017219347117601
309,160.92,189,0.0201538021838641
310,161.4,189,0.020135783382579635
311,161.88,212,0.020118136972114214
312,162.36,174,0.02010086283797017
313,162.84,182,0.02008396084734675
314,163.33,185,0.02006709042965877
315,163.81,187,0.02005094000376616
316,164.29,202,0.020035161218718667
317,164.77,177,0.020019753877564713
318,165.25,178,0.02000471776961003
319,165.74,188,0.019989751091900865
320,166.22,183,0.019549862140693642
321,166.7,168,0.019492432003543725
322,167.18,168,0.01943533940449181
323,167.66,203,0.019378581386542446
324,168.15,188,0.019320982983887017
325,168.63,175,0.01926489221292616
326,169.11,183,0.019209127297034105
327,169.59,166,0.019153685414329644
328,170.07,154,0.019098563775332342
329,170.56,169,0.019042621225780723
330,171.04,167,0.018988138361790363
331,171.52,165,0.018933967507062215
332,172.0,161,0.01888010599780193
333,172.48,182,0.018826551200370675
334,172.96,169,0.018773300510860423
335,173.45,176,0.01871925143538001
336,173.93,174,0.018666607468874035
337,174.41,199,0.01861425992066811
338,174.89,162,0.018562206302252988
339,175.37,162,0.018510444152823293
340,175.86,196,0.018457901738580022
341,176.34,173,0.018406721199645884
342,176.82,169,0.018355824860396518
343,177.3,150,0.018305210367610462
344,177.78,165,0.018254875393906616
345,178.27,169,0.018203777698950777
346,178.75,174,0.01815400058676378
347,179.23,163,0.018104496116402007
348,179.71,172,0.01805526206087891
349,180.19,191,0.018006296217333045
350,180.68,160,0.017956584640742533
351,181.16,170,0.017908154182135455
352,181.64,159,0.017859985424264747
353,182.12,159,0.017812076258042275
354,182.6,156,0.017764424596924382
355,183.08,180,0.017717028376611828
356,183.57,162,0.017668906092679394
357,184.05,159,0.017622019864290527
358,184.53,192,0.017575382972922163
359,185.01,276,0.01752899344078533
360,185.49,357,0.01748284931090057
361,185.98,276,0.017435994958167365
362,186.46,188,0.01739034085577973
363,186.94,165,0.017344926367566266
364,187.42,150,0.01729974961751156
365,187.9,173,0.01725480874908397
366,188.39,137,0.01720917300851023
367,188.87,149,0.017164703229263376
368,189.35,134,0.01712046383915936
369,189.83,158,0.017076453057505228
370,190.31,136,0.01703266912186603
371,190.79,166,0.01698911028783205
372,191.28,133,0.016944874369751756
373,191.76,164,0.01690176517664767
374,192.24,142,0.016858875922732847
375,192.72,146,0.016816204933793075
376,193.2,135,0.0167737505525221
377,193.69,139,0.016730633424741716
378,194.17,146,0.016688611780952774
379,194.65,152,0.016646801838927028
380,195.13,149,0.016605202007229265
381,195.61,148,0.016563810710296906
382,196.1,137,0.01652177057134883
383,196.58,138,0.01648079594325658
384,197.06,161,0.01644002518482685
385,197.54,152,0.016399456782359018
386,198.02,168,0.016359089237064806
387,198.51,161,0.016318086337483856
388,198.99,139,0.01627812017637908
389,199.47,137,0.01623835043357884
390,199.95,123,0.016198775668436506
391,200.43,146,0.01615939445432654
392,200.91,158,0.01612020537847441
393,201.4,138,0.016080396594752782
394,201.88,131,0.016041591541891623
395,202.36,133,0.016002974441962782
396,202.84,116,0.0159645439362196
397,203.32,121,0.015926298678950127
398,203.81,126,0.01588744633892627
399,204.29,134,0.015849571382957412
400,204.77,159,0.015811877687881563
401,205.25,156,0.015774363958848407
402,205.73,144,0.01573702891328304
403,206.22,142,0.015699099040914384
404,206.7,139,0.015662121219528237
405,207.18,135,0.015625318280252064
406,207.66,127,0.015588688988426257
407,208.14,165,0.01555223212095935
408,208.63,154,0.015515192327055678
409,209.11,137,0.015479080213872549
410,209.59,130,0.015443136899186981
