Canal,Energía (keV),Cuentas
1154,568.12,25
1155,568.6,23
1156,569.09,25
1157,569.57,24
1158,570.05,24
1159,570.53,24
1160,571.01,36
1161,571.5,27
1162,571.98,16
1163,572.46,30
1164,572.94,15
1165,573.42,17
1166,573.91,19
1167,574.39,25
1168,574.87,25
1169,575.35,24
1170,575.83,22
1171,576.31,33
1172,576.8,24
1173,577.28,15
1174,577.76,22
1175,578.24,27
1176,578.72,31
1177,579.21,40
1178,579.69,20
1179,580.17,21
1180,580.65,32
1181,581.13,29
1182,581.62,25
1183,582.1,27
1184,582.58,31
1185,583.06,35
1186,583.54,31
1187,584.03,33
1188,584.51,24
1189,584.99,21
1190,585.47,17
1191,585.95,27
1192,586.43,15
1193,586.92,19
1194,587.4,12
1195,587.88,26
1196,588.36,19
1197,588.84,25
1198,589.33,28
1199,589.81,24
1200,590.29,21
1201,590.77,23
1202,591.25,21
1203,591.74,26
1204,592.22,24
1205,592.7,26
1206,593.18,30
1207,593.66,24
1208,594.15,31
1209,594.63,34
1210,595.11,25
1211,595.59,34
1212,596.07,22
1213,596.55,23
1214,597.04,19
1215,597.52,22
1216,598.0,19
1217,598.48,17
1218,598.96,23
1219,599.45,18
1220,599.93,29
1221,600.41,22
1222,600.89,22
1223,601.37,17
1224,601.86,14
1225,602.34,19
1226,602.82,22
1227,603.3,16
1228,603.78,13
1229,604.27,20
1230,604.75,15
1231,605.23,23
1232,605.71,16
1233,606.19,18
1234,606.67,21
1235,607.16,28
1236,607.64,20
1237,608.12,31
1238,608.6,40
1239,609.08,42
1240,609.57,33
1241,610.05,28
1242,610.53,24
1243,611.01,21
1244,611.49,19
1245,611.98,22
1246,612.46,29
1247,612.94,26
1248,613.42,22
1249,613.9,22
1250,614.39,24
1251,614.87,22
1252,615.35,29
1253,615.83,22
1254,616.31,23
1255,616.79,19
1256,617.28,18
1257,617.76,23
1258,618.24,22
1259,618.72,23
1260,619.2,19
1261,619.69,17
1262,620.17,18
1263,620.65,22
1264,621.13,22
1265,621.61,19
1266,622.1,23
1267,622.58,24
1268,623.06,14
1269,623.54,17
1270,624.02,27
1271,624.5,29
1272,624.99,18
1273,625.47,18
1274,625.95,21
1275,626.43,21
1276,626.91,18
1277,627.4,20
1278,627.88,18
1279,628.36,19
1280,628.84,23
1281,629.32,21
1282,629.81,21
1283,630.29,18
1284,630.77,21
1285,631.25,15
1286,631.73,22
1287,632.22,26
1288,632.7,26
1289,633.18,25
1290,633.66,16
1291,634.14,27
1292,634.62,28
1293,635.11,23
1294,635.59,21
1295,636.07,31
1296,636.55,17
1297,637.03,12
1298,637.52,21
1299,638.0,20
1300,638.48,18
1301,638.96,22
1302,639.44,19
1303,639.93,25
1304,640.41,17
1305,640.89,25
1306,641.37,12
1307,641.85,26
1308,642.34,20
1309,642.82,19
1310,643.3,19
1311,643.78,17
1312,644.26,23
1313,644.74,14
1314,645.23,17
1315,645.71,22
1316,646.19,18
1317,646.67,14
1318,647.15,20
1319,647.64,14
1320,648.12,19
1321,648.6,19
1322,649.08,22
1323,649.56,23
1324,650.05,20
1325,650.53,26
1326,651.01,13
1327,651.49,22
1328,651.97,18
1329,652.46,18
1330,652.94,19
1331,653.42,21
1332,653.9,24
1333,654.38,19
1334,654.86,15
1335,655.35,24
1336,655.83,24
1337,656.31,14
1338,656.79,37
