Canal,Energía (keV),Cuentas
708,353.2,57
709,353.68,43
710,354.16,39
711,354.64,56
712,355.12,49
713,355.6,59
714,356.09,48
715,356.57,60
716,357.05,53
717,357.53,47
718,358.01,54
719,358.5,46
720,358.98,55
721,359.46,38
722,359.94,42
723,360.42,32
724,360.91,54
725,361.39,47
726,361.87,36
727,362.35,41
728,362.83,62
729,363.32,48
730,363.8,52
731,364.28,55
732,364.76,36
733,365.24,53
734,365.72,48
735,366.21,52
736,366.69,51
737,367.17,61
738,367.65,42
739,368.13,37
740,368.62,50
741,369.1,53
742,369.58,43
743,370.06,55
744,370.54,44
745,371.03,59
746,371.51,45
747,371.99,54
748,372.47,47
749,372.95,46
750,373.44,50
751,373.92,42
752,374.4,52
753,374.88,56
754,375.36,44
755,375.84,51
756,376.33,47
757,376.81,47
758,377.29,35
759,377.77,45
760,378.25,53
761,378.74,42
762,379.22,51
763,379.7,44
764,380.18,54
765,380.66,53
766,381.15,41
767,381.63,56
768,382.11,45
769,382.59,51
770,383.07,42
771,383.55,45
772,384.04,53
773,384.52,43
774,385.0,48
775,385.48,42
776,385.96,45
777,386.45,42
778,386.93,47
779,387.41,45
780,387.89,45
781,388.37,45
782,388.86,37
783,389.34,45
784,389.82,47
785,390.3,37
786,390.78,42
787,391.27,43
788,391.75,59
789,392.23,50
790,392.71,44
791,393.19,38
792,393.67,58
793,394.16,37
794,394.64,45
795,395.12,35
796,395.6,47
797,396.08,45
798,396.57,48
799,397.05,51
800,397.53,46
801,398.01,41
802,398.49,31
803,398.98,45
804,399.46,40
805,399.94,45
806,400.42,44
807,400.9,36
808,401.39,48
809,401.87,41
810,402.35,36
811,402.83,42
812,403.31,38
813,403.79,47
814,404.28,45
815,404.76,48
816,405.24,42
817,405.72,49
818,406.2,41
819,406.69,36
820,407.17,40
821,407.65,44
822,408.13,42
823,408.61,34
824,409.1,38
825,409.58,41
826,410.06,43
827,410.54,43
828,411.02,41
829,411.51,41
830,411.99,36
831,412.47,42
832,412.95,48
833,413.43,41
834,413.91,52
835,414.4,41
836,414.88,42
837,415.36,38
838,415.84,32
839,416.32,49
840,416.81,51
841,417.29,40
842,417.77,32
843,418.25,47
844,418.73,40
845,419.22,41
