Canal,Energía (keV),Cuentas,Eficiencia
210,112.94,233,0.023615153136329756
211,113.42,221,0.023570992081010125
212,113.91,221,0.023525806452047732
213,114.39,240,0.023481457702726926
214,114.87,220,0.023437041021374297
215,115.36,246,0.02339164539969158
216,115.84,234,0.023347139379506873
217,116.32,211,0.02330261193255072
218,116.81,231,0.023257149765786106
219,117.29,226,0.023212622760749486
220,117.77,228,0.023168116746870648
221,118.26,247,0.02312271887631872
222,118.74,233,0.023078295130246607
223,119.22,216,0.023033931003945147
224,119.7,225,0.022989638498581776
225,120.19,224,0.022944509181118348
226,120.67,236,0.02290039651874846
227,121.15,225,0.02285638949531275
228,121.64,237,0.02281158558047363
229,122.12,250,0.02276782389556543
230,122.6,235,0.022724198707559148
231,123.09,224,0.022679815382062554
232,123.57,226,0.022636494891179623
233,124.05,248,0.022593338838021133
234,124.53,223,0.022550355868645018
235,125.02,242,0.022506664631672283
236,125.5,216,0.022464056661137526
237,125.98,246,0.02242164618260377
238,126.47,223,0.022378563687974414
239,126.95,236,0.02233657505313366
240,127.43,214,0.022294805908504307
241,127.92,227,0.022252400015867813
242,128.4,225,0.022211094888437394
243,128.88,200,0.022170029033221506
244,129.36,222,0.022129208541769384
245,129.85,283,0.022087796808643825
246,130.33,247,0.02204748986938835
247,130.81,220,0.02200744540393304
248,131.3,232,0.021966842870335825
249,131.78,211,0.02192734466449822
250,132.26,226,0.021888124227702057
251,132.75,216,0.021848378078108053
252,133.23,229,0.02180973309735796
253,133.71,208,0.021771379518378212
254,134.19,209,0.021733321512297777
255,134.68,243,0.02169477966820139
256,135.16,234,0.02165733104051097
257,135.64,242,0.021620189623031204
258,136.13,215,0.021582594988713403
259,136.61,214,0.021546085076129002
260,137.09,203,0.021509892662102247
261,137.58,173,0.021473276978021504
262,138.06,217,0.02143773559092202
263,138.54,209,0.021402520760049885
264,139.02,254,0.02136763523165682
265,139.51,220,0.021332365314149018
266,139.99,195,0.02129815315044134
267,140.47,188,0.02126427787719139
268,140.96,206,0.021230046737890584
269,141.44,195,0.02119685914360177
270,141.92,181,0.021164015039511232
271,142.41,229,0.021130843040964704
272,142.89,261,0.02109869902670779
273,143.37,255,0.0210669042052397
274,143.85,222,0.021035460281248006
275,144.34,197,0.02100372489527281
276,144.82,176,0.020972994930277322
277,145.3,196,0.020942620500506503
278,145.79,188,0.02091198142071717
279,146.27,203,0.020882329587221235
280,146.75,196,0.020853037215512436
281,147.24,173,0.02082350655851803
282,147.72,205,0.020794944054787302
283,148.2,210,0.020766744297838313
284,148.68,200,0.02073890824490361
285,149.17,191,0.020710868353388718
286,149.65,199,0.020683769959952622
287,150.13,201,0.020657037800199184
288,150.62,222,0.020630127230710414
289,151.1,193,0.020604137325072724
290,151.58,231,0.02057851568292539
291,152.07,201,0.020552740700997135
292,152.55,205,0.020527864951870187
293,153.03,192,0.020503359049066437
294,153.52,195,0.02047872454137946
295,154.0,205,0.020454967317312566
296,154.48,198,0.020431581124077135
297,154.96,199,0.02040856627378907
298,155.45,181,0.02038545526081927
299,155.93,184,0.020363191634859654
300,156.41,183,0.020341300074926016
301,156.9,188,0.0203193363925983
302,157.38,201,0.020298197206863426
303,157.86,178,0.020277430510593164
304,158.35,156,0.020256615468897638
305,158.83,173,0.020236601728955632
306,159.31,199,0.02021696063896806
307,159.79,168,0.020197692199984758
308,160.28,180,0.020178406688503174
309,160.76,194,0.020159891221503547
310,161.24,190,0.02014174826780705
311,161.73,180,0.020123611479009648
312,162.21,175,0.020106221021941168
313,162.69,209,0.020089202751799776
314,163.18,191,0.020072213682396204
315,163.66,162,0.020055947080632824
316,164.14,199,0.02004005217830829
317,164.62,178,0.020024528782944476
318,165.11,179,0.020009064966139765
319,165.59,168,0.019994291680475305
320,166.07,182,0.0195678787522311
321,166.56,163,0.019509147460597474
322,167.04,199,0.019451956719927457
323,167.52,207,0.01939510141924696
324,168.01,182,0.019337404582700835
325,168.49,174,0.019281218234408225
326,168.97,160,0.01922535857040377
327,169.45,182,0.019169822759267905
328,169.94,159,0.019113461088788707
329,170.42,177,0.019058571220603195
330,170.9,169,0.019003996847747492
331,171.39,170,0.018948608124165888
332,171.87,180,0.018894663095143968
333,172.35,192,0.018841025488274977
334,172.84,161,0.018786584814415603
335,173.32,173,0.01873356051468073
336,173.8,147,0.018680835836315607
337,174.28,171,0.018628408255040124
338,174.77,175,0.018575192285983984
339,175.25,191,0.01852335749850789
340,175.73,160,0.018471812352362817
341,176.22,177,0.018419489598163363
342,176.7,162,0.01836852243062454
343,177.18,144,0.018317837695417973
344,177.67,158,0.01826638592403816
345,178.15,167,0.018216264840581465
346,178.63,164,0.018166419217112963
347,179.11,172,0.01811684679602447
348,179.6,159,0.01806652109620505
349,180.08,180,0.018017493980735412
350,180.56,167,0.01796873339546429
351,181.05,157,0.01791922963748941
352,181.53,183,0.017871001093639715
353,182.01,183,0.017823032622768763
354,182.5,197,0.017774330893089385
355,182.98,160,0.017726881625090053
356,183.46,144,0.01767968617924019
357,183.94,159,0.01763274253036057
358,184.43,234,0.01758507852802827
359,184.91,325,0.017538637624788175
360,185.39,327,0.017492442529801634
361,185.88,228,0.01744553656455043
362,186.36,164,0.01739983230458858
363,186.84,170,0.017354368052113444
364,187.33,152,0.017308202234888274
365,187.81,157,0.01726321727918261
366,188.29,154,0.0172184667108447
367,188.78,156,0.017173023709705304
368,189.26,157,0.01712874125783012
369,189.74,161,0.017084687746886876
370,190.22,149,0.017040861411035193
371,190.71,176,0.01699635453494165
372,191.19,146,0.016952981965889007
373,191.67,143,0.016909831346413332
374,192.16,136,0.016866008929425014
375,192.64,154,0.01682330167853409
376,193.12,128,0.016780811310364553
377,193.61,154,0.0167376577267916
378,194.09,141,0.01669560064352699
379,194.57,115,0.016653755528821958
380,195.05,146,0.016612120788576462
381,195.54,154,0.0165698340131501
382,196.02,151,0.016528619603816085
383,196.5,146,0.016487610849224052
384,196.99,132,0.01644595828125407
385,197.47,168,0.016405360462243498
386,197.95,141,0.01636496371805815
387,198.44,178,0.016323931233557014
388,198.92,144,0.016283936306903654
389,199.4,147,0.016244138009830832
390,199.88,140,0.016204534899632896
391,200.37,143,0.01616430656968861
392,200.85,128,0.016125093553346046
393,201.33,139,0.01608607145031425
394,201.82,139,0.016046431866815276
395,202.3,134,0.01600779134734539
396,202.78,129,0.015969337591188418
397,203.27,136,0.01593027395599801
398,203.75,141,0.01589219351830086
399,204.23,158,0.015854295813059163
400,204.71,137,0.015816579531437124
401,205.2,136,0.015778263280019213
402,205.68,127,0.01574090968107608
403,206.16,134,0.015703733626932382
404,206.65,123,0.01566596489496783
405,207.13,106,0.01562914379661183
406,207.61,126,0.015592496473774448
407,208.1,132,0.015555263637237568
408,208.58,136,0.01551896376074843
409,209.06,131,0.015482833996203807
410,209.54,144,0.01544687315348927
411,210.03,139,0.015410336139295202
412,210.51,141,0.015374713071932167
413,210.99,143,0.015339255397852017
414,211.48,156,0.015303228429262978
415,211.96,143,0.015268101499083506
416,212.44,121,0.01523313653101818
417,212.93,137,0.015197609026725076
418,213.41,132,0.015162967964499114
419,213.89,148,0.015128485527266663
420,214.37,125,0.015094160630494709
421,214.86,132,0.015059282013341767
422,215.34,109,0.015025272209411219
423,215.82,133,0.01499141672906782
424,216.31,125,0.014957014019937117
425,216.79,132,0.014923467220038565
426,217.27,110,0.01489007161365397
427,217.76,120,0.014856135159794196
428,218.24,136,0.014823041993906839
429,218.72,139,0.014790096975357407
430,219.2,109,0.014757299113759543
431,219.69,111,0.014723968731450437
432,220.17,143,0.014691465262422685
433,220.65,106,0.01465910601153515
434,221.14,125,0.014626220373339702
435,221.62,124,0.014594149655132501
436,222.1,111,0.014562220293823935
437,222.59,116,0.014529770576046777
438,223.07,112,0.014498124041696859
439,223.55,129,0.0144666160780354
440,224.04,143,0.014434593688372051
441,224.52,130,0.01440336299508713
442,225.0,118,0.01437226815887261
443,225.48,110,0.014341308297016053
444,225.97,117,0.014309841750773114
445,226.45,101,0.014279151986359092
446,226.93,115,0.014248594575685329
447,227.42,102,0.014217536185321657
448,227.9,108,0.014187243644714012
449,228.38,121,0.014157080904494149
450,228.87,112,0.014126422795818619
451,229.35,115,0.014096519832038492
452,229.83,110,0.014066744180418072
453,230.31,119,0.014037095031260723
454,230.8,106,0.014006957840776789
455,231.28,120,0.013977561888472531
456,231.76,106,0.013948290033904097
457,232.25,109,0.013918535538917856
458,232.73,104,0.013889512083152342
459,233.21,131,0.013860610380838195
460,233.7,113,0.013831231351905232
461,234.18,108,0.013802573370568942
462,234.66,132,0.013774034856958344
463,235.14,106,0.013745615067007935
464,235.63,99,0.01371672489125506
465,236.11,103,0.013688542776030922
466,236.59,116,0.013660477173882133
467,237.08,117,0.013631946303607612
468,237.56,151,0.013604113964341469
469,238.04,169,0.013576395981999041
470,238.53,154,0.013548217767941774
471,239.01,105,0.013520728744945133
472,239.49,122,0.013493351975491381
473,239.97,89,0.013466086774638807
474,240.46,104,0.01343836792249372
475,240.94,108,0.013411326115188311
476,241.42,113,0.013384393840867492
477,241.91,110,0.013357012768614434
478,242.39,107,0.013330299824172078
479,242.87,113,0.013303694426223511
480,243.36,98,0.013276645007817757
481,243.84,94,0.013250254973855862
482,244.32,111,0.01322397054755192
483,244.8,99,0.013197791097339016
484,245.29,111,0.013171173870561033
485,245.77,91,0.01314520465226919
486,246.25,86,0.013119338532471502
487,246.74,83,0.013093039242573459
488,247.22,93,0.01306737960557342
489,247.7,95,0.013041821233897246
490,248.19,77,0.01301583422765857
491,248.67,97,0.012990478678107204
492,249.15,96,0.012965222603831794
493,249.63,90,0.01294006542154836
494,250.12,103,0.01291448553405455
495,250.6,89,0.01288952643418442
496,251.08,92,0.012864664491710764
497,251.57,115,0.01283938421965424
498,252.05,95,0.012814716895205388
499,252.53,108,0.012790145033813639
500,253.02,97,0.012765159152112644
501,253.5,90,0.012740778524527608
502,253.98,87,0.012716491704757086
503,254.46,111,0.01269229815327935
504,254.95,102,0.012667696216586208
505,255.43,86,0.01264368951482179
506,255.91,89,0.012619774476416616
507,256.4,92,0.012595455212401532
508,256.88,88,0.012571723817568839
509,257.36,73,0.012548082517707995
510,257.85,95,0.012524041089710445
511,258.33,97,0.012500580300083476
512,258.81,100,0.012477208072554372
513,259.3,97,0.012453439753432773
514,259.78,92,0.012430244973549472
515,260.26,80,0.012407137257405441
516,260.74,101,0.012384116116430281
517,261.23,85,0.01236070416414095
518,261.71,103,0.012337856500753863
519,262.19,83,0.012315093958627253
520,262.68,89,0.012291944504219065
521,263.16,87,0.012269352534430412
522,263.64,92,0.012246844264310386
523,264.13,71,0.012223952923822194
524,264.61,92,0.012201612385188661
525,265.09,79,0.012179354156056784
526,265.57,103,0.01215717778300818
527,266.06,86,0.012134623366567872
528,266.54,87,0.01211261104059514
529,267.02,91,0.01209067922103347
530,267.51,93,0.01206837307102358
531,267.99,77,0.012046602601022438
532,268.47,72,0.012024911317218678
533,268.96,109,0.012002849362315394
534,269.44,82,0.01198131678927508
535,269.92,84,0.011959862110878652
536,270.4,88,0.011938484905758561
537,270.89,93,0.011916741818844216
538,271.37,77,0.011895519900523961
539,271.85,75,0.011874374200880358
540,272.34,97,0.011852866157726709
541,272.82,81,0.011831873236887551
542,273.3,83,0.011810955307023545
543,273.79,81,0.011789678521602275
544,274.27,79,0.011768910916175226
545,274.75,76,0.011748217100203925
546,275.23,71,0.011727596681592813
547,275.72,95,0.011706621973531343
548,276.2,91,0.011686148693258895
549,276.68,77,0.01166574764260482
550,277.17,84,0.011644995676711886
551,277.65,91,0.011624739429587517
552,278.13,82,0.011604554268939587
553,278.62,88,0.011584021519957381
554,279.1,65,0.011563978877087768
555,279.58,69,0.011544006201509091
556,280.06,87,0.011524103127902896
557,280.55,73,0.011503856822284076
558,281.03,77,0.011484093297948398
559,281.51,59,0.011464398287322744
560,282.0,60,0.01144436326463789
561,282.48,84,0.011424805626985455
562,282.96,81,0.011405315437313698
563,283.45,87,0.011385488411034875
564,283.93,66,0.011366133462985274
565,284.41,79,0.011346844919140755
566,284.89,72,0.011327622438715594
567,285.38,52,0.011308067280662235
568,285.86,83,0.011288977272703839
569,286.34,72,0.011269952312742056
570,286.83,75,0.011250597749954655
571,287.31,77,0.011231703231464793
572,287.79,90,0.011212872766219864
573,288.28,75,0.011193715731055483
574,288.76,75,0.011175013717528763
575,289.24,73,0.011156374782643658
576,289.72,62,0.011137798608124567
577,290.21,86,0.011118899836874566
578,290.69,90,0.011100449527834793
579,291.17,75,0.011082061030592298
580,291.66,74,0.011063352874729027
581,292.14,84,0.011045088345362173
582,292.62,76,0.011026884698214253
583,293.11,77,0.011008364291080043
584,293.59,103,0.010990282752100188
585,294.07,83,0.010972261184279063
586,294.55,96,0.010954299290025227
587,295.04,90,0.010936024433918983
588,295.52,81,0.010918182229672897
589,296.0,89,0.010900398811873687
590,296.49,69,0.010882305241502726
591,296.97,70,0.010864639738738949
592,297.45,72,0.01084703215277256
593,297.94,66,0.0108291171862911
594,298.42,76,0.010811625775258949
595,298.9,79,0.01079419142841828
596,299.39,104,0.01077645243654017
597,299.87,70,0.010759132558552612
598,300.35,69,0.010741868908779118
599,300.83,77,0.010724661214076503
600,301.32,63,0.01070715245969063
601,301.8,72,0.010690057014345373
602,302.28,71,0.010673016709603784
603,302.77,62,0.010655677997818035
604,303.25,81,0.010638748312487959
605,303.73,87,0.010621872969001762
606,304.22,54,0.010604701836583528
607,304.7,79,0.010587935513922358
608,305.18,70,0.010571222749676331
609,305.66,58,0.010554563287818265
610,306.15,83,0.010537611469273966
611,306.63,64,0.010521058947828161
612,307.11,63,0.010504558965182402
613,307.6,58,0.01048776916574167
614,308.08,71,0.010471374595147942
615,308.56,66,0.010455031814261244
616,309.05,70,0.010438401723856315
617,309.53,75,0.010422162855605642
618,310.01,67,0.010405975042122094
619,310.49,78,0.010389838043176135
620,310.98,70,0.010373417022330618
621,311.46,71,0.010357381983978202
622,311.94,64,0.010341397043547801
623,312.43,79,0.010325130514579237
624,312.91,49,0.01030924610018494
625,313.39,70,0.010293411080490068
626,313.88,75,0.010277296874787728
627,314.36,62,0.010261560973320167
628,314.84,57,0.010245873776411335
629,315.32,59,0.01023023505843087
630,315.81,61,0.010214320305345671
631,316.29,63,0.010198778872181747
632,316.77,57,0.010183285244750297
633,317.26,57,0.010167517914847261
634,317.74,68,0.010152120224398873
635,318.22,75,0.01013676967887687
636,318.71,51,0.010121147734351249
637,319.19,53,0.010105891802728634
638,319.67,64,0.010090682367332801
639,320.15,65,0.010075519216041596
640,320.64,59,0.01006008768731915
641,321.12,59,0.010045017426282058
642,321.6,61,0.010029992816337829
643,322.09,65,0.010014702066285252
644,322.57,72,0.009999769079037686
645,323.05,72,0.00998488112134678
646,323.54,59,0.009969729233261221
647,324.02,57,0.00995493165363684
648,324.5,60,0.009940178493249885
649,324.98,67,0.009925469552491547
650,325.47,70,0.00991049958048116
651,325.95,72,0.00989587939582602
652,326.43,51,0.009881302835021293
653,326.92,75,0.00986646739004062
654,327.4,56,0.00985197839217601
655,327.88,57,0.009837532433024503
656,328.37,55,0.009822829710619032
657,328.85,81,0.009808470142507936
658,329.33,74,0.009794153038377258
659,329.81,73,0.00977987821022344
660,330.3,52,0.009765349401981215
661,330.78,54,0.009751159437206173
662,331.26,65,0.009737011187168562
663,331.75,65,0.00972261101860815
664,332.23,57,0.009708546507808087
665,332.71,50,0.009694523160384121
666,333.2,62,0.009680249931210437
667,333.68,55,0.009666309218624889
668,334.16,53,0.009652409127715946
669,334.65,54,0.009638261167429643
670,335.13,66,0.009624442626271186
671,335.61,57,0.009610664174541272
672,336.09,52,0.009596925638094422
673,336.58,45,0.009582941873613565
674,337.06,57,0.009569283471864492
675,337.54,66,0.009555664465413479
676,338.03,52,0.009541802187899854
677,338.51,44,0.00952826227446273
678,338.99,52,0.009514761245320448
679,339.48,52,0.009501018878936777
680,339.96,54,0.00948759591907913
681,340.44,53,0.009474211341302
682,340.92,50,0.009460864981259053
683,341.41,54,0.00944727982266273
684,341.89,66,0.00943401019647808
685,342.37,53,0.00942077829722092
686,342.86,69,0.009407309480653426
687,343.34,59,0.00939415333190149
688,343.82,50,0.009381034427628583
689,344.31,60,0.009367680465310765
690,344.79,53,0.009354636344900828
691,345.27,50,0.00934162899470275
692,345.75,52,0.009328658259490518
693,346.24,55,0.009315454907465546
694,346.72,58,0.009302557694799434
695,347.2,50,0.009289696633474709
696,347.69,56,0.009276604764671795
697,348.17,59,0.009263816296848968
698,348.65,59,0.009251063524509048
699,349.14,54,0.009238081733147847
700,349.62,56,0.009225400640834434
701,350.1,60,0.009212754795768725
702,350.58,69,0.009200144051221687
703,351.07,85,0.009187306636307953
704,351.55,82,0.009174766379515252
705,352.03,102,0.00916226078490772
706,352.52,48,0.009149530260944201
707,353.0,41,0.009137094275661617
708,353.48,40,0.00912469252149064
709,353.97,59,0.009112067559129638
710,354.45,49,0.009099734550373398
711,354.93,66,0.009087435348765664
712,355.41,59,0.009075169815501445
713,355.9,64,0.009062683334704247
714,356.38,48,0.009050485418971748
715,356.86,58,0.009038320756858188
716,357.35,55,0.00902593682326494
717,357.83,46,0.009013838947471665
718,358.31,57,0.009001773917348726
719,358.8,44,0.008989491272925042
720,359.28,54,0.008977492211464188
721,359.76,48,0.008965525594363375
722,360.24,66,0.008953591290214452
723,360.73,60,0.008941441548727693
724,361.21,56,0.008929572145462906
725,361.69,62,0.008917734662467666
726,362.18,41,0.008905683356394268
727,362.66,44,0.008893909987162546
728,363.14,48,0.008882168151848202
729,363.63,48,0.008870214089753426
730,364.11,58,0.008858535593745298
731,364.59,44,0.008846888251505688
732,365.07,35,0.008835271938537576
733,365.56,46,0.008823445496103817
734,366.04,54,0.00881189151082212
735,366.52,57,0.008800368182728158
736,367.01,53,0.008788636280610015
737,367.49,42,0.008777174534290525
738,367.97,46,0.008765743078994118
739,368.46,55,0.008754104588011482
740,368.94,40,0.008742733980420166
741,369.42,45,0.008731393303489269
742,369.91,56,0.008719847112354373
743,370.39,44,0.008708566560667902
744,370.87,51,0.0086973155849668
745,371.35,48,0.008686094069075277
746,371.84,42,0.008674669038394573
747,372.32,43,0.008663506703743964
748,372.8,58,0.008652373481625593
749,373.29,47,0.008641038227846209
750,373.77,38,0.008629963490691102
751,374.25,36,0.008618917524222334
752,374.74,58,0.008607670993158886
753,375.22,43,0.008596682826244437
754,375.7,46,0.00858572309349616
755,376.18,40,0.008574791684669908
756,376.67,42,0.008563661639441738
757,377.15,36,0.008552787134365105
758,377.63,31,0.008541940623619418
759,378.12,57,0.008530896906980522
760,378.6,45,0.008520106639099927
761,379.08,43,0.008509344041048078
762,379.57,61,0.00849838565229798
763,380.05,42,0.008487678646411208
764,380.53,42,0.008476998990842168
765,381.01,44,0.008466346580904853
766,381.5,43,0.008455500240557464
767,381.98,42,0.008444902572145063
